year,country,continent,gdpPercap,lifeExp,pop
1800,Afghanistan,asia_west,603,28.2,3280000
1800,Albania,europe_east,667,35.4,410000
1800,Algeria,africa_north,715,28.8,2500000
1800,Angola,africa_sub_saharan,618,27,1570000
1800,Antigua and Barbuda,america_north,757,33.5,37000
1800,Argentina,america_south,1510,33.2,534000
1800,Armenia,europe_east,514,34,413000
1800,Australia,east_asia_pacific,814,34,351000
1800,Austria,europe_west,1850,34.4,3210000
1800,Azerbaijan,europe_east,775,29.2,880000
1800,Bahamas,america_north,1450,35.2,27400
1800,Bahrain,asia_west,1240,30.3,64500
1800,Bangladesh,asia_west,876,25.5,19200000
1800,Barbados,america_north,913,32.1,81700
1800,Belarus,europe_east,608,36.2,2360000
1800,Belgium,europe_west,2410,40,3140000
1800,Belize,america_north,579,26.5,25500
1800,Benin,africa_sub_saharan,597,31,637000
1800,Bhutan,asia_west,629,28.8,90000
1800,Bolivia,america_south,854,33,1100000
1800,Bosnia and Herzegovina,europe_east,669,35.1,852000
1800,Botswana,africa_sub_saharan,397,33.6,121000
1800,Brazil,america_south,1110,32,3640000
1800,Brunei,east_asia_pacific,1510,29.2,2130
1800,Bulgaria,europe_east,1090,35.8,1990000
1800,Burkina Faso,africa_sub_saharan,480,29.2,1670000
1800,Burundi,africa_sub_saharan,418,31.5,899000
1800,Cambodia,east_asia_pacific,903,35,2090000
1800,Cameroon,africa_sub_saharan,626,28.8,1860000
1800,Canada,america_north,1310,39,646000
1800,Cape Verde,africa_sub_saharan,529,33.8,55700
1800,Central African Republic,africa_sub_saharan,424,30,479000
1800,Chad,africa_sub_saharan,418,30.9,1430000
1800,Chile,america_south,1030,32,771000
1800,China,east_asia_pacific,984,32,322000000
1800,Colombia,america_south,962,32,1210000
1800,Comoros,africa_sub_saharan,696,32.1,56300
1800,"Congo, Dem. Rep.",africa_sub_saharan,485,31.6,5160000
1800,"Congo, Rep.",africa_sub_saharan,575,32.7,314000
1800,Costa Rica,america_north,775,30.2,52000
1800,Cote d'Ivoire,africa_sub_saharan,812,31.2,1090000
1800,Croatia,europe_east,1080,36.1,1230000
1800,Cuba,america_north,864,32.2,345000
1800,Cyprus,europe_west,853,38.5,184000
1800,Czech Republic,europe_east,1920,35,5520000
1800,Denmark,europe_west,2010,37.4,1060000
1800,Djibouti,africa_north,752,29.9,22800
1800,Dominican Republic,america_north,667,29.9,89000
1800,Ecuador,america_south,529,32.9,500000
1800,Egypt,africa_north,790,33,4240000
1800,El Salvador,america_north,974,28.7,248000
1800,Equatorial Guinea,africa_sub_saharan,356,29.8,80400
1800,Eritrea,africa_sub_saharan,532,30.2,205000
1800,Estonia,europe_east,938,36.1,334000
1800,Ethiopia,africa_sub_saharan,523,29.7,2950000
1800,Fiji,east_asia_pacific,785,26.1,131000
1800,Finland,europe_east,1240,36.6,978000
1800,France,europe_west,1800,34,29400000
1800,Gabon,africa_sub_saharan,390,30.6,158000
1800,Gambia,africa_sub_saharan,813,28.8,103000
1800,Georgia,europe_east,543,31.9,1070000
1800,Germany,europe_west,1640,38.4,22900000
1800,Ghana,africa_sub_saharan,696,28,2020000
1800,Greece,europe_west,1370,36.6,2150000
